NAME,TYPE,LOCATION,
"access_connector_netflix","Access Connector for Azure Databricks","Central India"
"data-factory-srinath","Data factory (V2)","East US"
"data_bricks_netflix","Azure Databricks Service","Central India"
"srinath09datalake","Storage account","East US"
